iter	RMSE
205	1.917767844
206	1.916344044
207	1.916200855
208	1.916090696
209	1.915985466
210	1.91582089
211	1.915721178
212	1.914483222
213	1.914380714
214	1.912508657
215	1.911151104
216	1.909376145
217	1.909277124
218	1.907530527
219	1.90738936
220	1.906415244
221	1.906269101
222	1.904264613
223	1.902752583
224	1.902667415
225	1.901719846
226	1.90085813
227	1.900164619
228	1.899169979
229	1.898608619
230	1.898380833
231	1.896720945
232	1.89562353
233	1.894053116
234	1.892719332
235	1.891681677
236	1.891430034
237	1.889844187
238	1.889067234
239	1.886590638
240	1.885259271
241	1.882163596
242	1.880633423
243	1.879094855
244	1.878334139
245	1.876912645
246	1.87680094
247	1.876281762
248	1.873145615
249	1.872277698
250	1.869738549
251	1.868782032
252	1.867813284
253	1.867024798
254	1.866251803
255	1.865302233
256	1.864508978
257	1.864156894
258	1.862421116
259	1.861106355
260	1.860186931
261	1.858803695
262	1.858327576
263	1.856671437
264	1.855496652
265	1.854801391
266	1.853714658
267	1.851332474
268	1.849840444
269	1.848723306
270	1.84769134
271	1.847623394
272	1.846668444
273	1.846368368
274	1.846306894
275	1.84421756
276	1.844035379
277	1.843976324
278	1.843722153
279	1.842392228
280	1.841217715
281	1.840282743
282	1.838500302
283	1.836463676
284	1.835436473
285	1.833299963
286	1.831929536
287	1.831489884
288	1.830491385
289	1.828339167
290	1.827314295
291	1.826331723
292	1.826248103
293	1.82618952
294	1.82538432
295	1.824578412
296	1.82363265
297	1.823047828
298	1.822488604
299	1.81947711
300	1.817314326
301	1.815912187
302	1.814664277
303	1.813187801
304	1.81130415
305	1.810380264
306	1.810333165
307	1.809943274
308	1.808867765
309	1.807898637
310	1.807854367
311	1.807229795
312	1.806411883
313	1.806308324
314	1.80511078
315	1.804204681
316	1.804183964
317	1.803168994
318	1.801529909
319	1.800353247
320	1.79927338
321	1.798613823
322	1.796620833
323	1.79637249
324	1.795303671
325	1.793931541
326	1.791143036
327	1.79009118
328	1.788990447
329	1.78714868
330	1.78641822
331	1.786328311
332	1.785543698
333	1.785043148
334	1.784079288
335	1.783007905
336	1.78281867
337	1.782138343
338	1.780763266
339	1.77954729
340	1.778813588
341	1.777832651
342	1.77737316
343	1.775965384
344	1.774553628
345	1.773849569
346	1.772843188
347	1.771010586
348	1.770263614
349	1.769573539
350	1.769561783
351	1.768748305
352	1.767453357
353	1.765754423
354	1.764869974
355	1.763500345
356	1.762201694
357	1.76098207
358	1.760455953
359	1.759160069
360	1.757551194
361	1.756916189
362	1.75468589
363	1.753967912
364	1.753960981
365	1.75329796
366	1.752797103
367	1.751298531
368	1.750139928
369	1.748678459
370	1.748184885
371	1.747078718
372	1.74629621
373	1.745831402
374	1.744980722
375	1.744124517
376	1.743492819
377	1.742991623
378	1.742222258
379	1.740582289
380	1.739656138
381	1.739543444
382	1.738286034
383	1.73791973
384	1.737055363
385	1.73609347
386	1.73494876
387	1.734678567
388	1.733498135
389	1.732534867
390	1.73163214
391	1.731299548
392	1.730166375
393	1.728845129
394	1.728259954
395	1.72746705
396	1.72670688
397	1.723207391
398	1.722486233
399	1.722037937
400	1.720971288
401	1.720459861
402	1.719564348
403	1.719167688
404	1.717755421
405	1.716191325
406	1.71569179
407	1.713474317
408	1.712364431
409	1.711671124
410	1.710875721
411	1.710214343
412	1.709961016
413	1.70941169
414	1.708258028
415	1.707964404
416	1.707118423
417	1.706544496
418	1.705131011
419	1.704170098
420	1.702838966
421	1.701255855
422	1.700081156
423	1.700012544
424	1.698737779
425	1.697441944
426	1.696328585
427	1.695039559
428	1.694646381
429	1.694041536
430	1.692653709
431	1.69260306
432	1.691902118
433	1.691852214
434	1.691769163
435	1.691760474
436	1.690550617
437	1.690508712
438	1.689345729
439	1.688992395
440	1.687492053
441	1.685301306
442	1.684789735
443	1.683617059
444	1.683238577
445	1.682371722
446	1.681518062
447	1.680773962
448	1.679754862
449	1.677905158
450	1.676833287
451	1.67352715
452	1.672473047
453	1.671326888
454	1.671314816
455	1.66815455
456	1.666131562
457	1.665408516
458	1.662312266
459	1.661068435
460	1.661026718
461	1.660699873
462	1.659416107
463	1.657594079
464	1.657524509
465	1.656778515
466	1.655532711
467	1.655197767
468	1.653989245
469	1.653113778
470	1.652440799
471	1.651815657
472	1.650305068
473	1.647367794
474	1.646823519
475	1.645853377
476	1.645129515
477	1.644044478
478	1.643022721
479	1.641716476
480	1.640470891
481	1.639493091
482	1.638685045
483	1.63708025
484	1.636460587
485	1.635978296
486	1.635391395
487	1.632909535
488	1.631759412
489	1.631755383
490	1.62906339
491	1.628022852
492	1.62732739
493	1.626369558
494	1.625373308
495	1.624514055
496	1.623776346
497	1.623154237
498	1.622643222
499	1.621727718
500	1.620444729
501	1.620272093
502	1.61999022
503	1.619452458
504	1.618254302
505	1.617401909
506	1.615959896
507	1.6152923
508	1.614603713
509	1.614536011
510	1.612838946
511	1.611942484
512	1.611280518
513	1.609676483
514	1.607629864
515	1.60684601
516	1.606250925
517	1.606234076
518	1.604333709
519	1.602804285
520	1.60280071
521	1.601504463
522	1.600676433
523	1.599481966
524	1.599328985
525	1.599082537
526	1.59772178
527	1.596243087
528	1.595706577
529	1.595354397
530	1.592889681
531	1.591943104
532	1.589783682
533	1.588775496
534	1.58828626
535	1.587026602
536	1.585307132
537	1.583744767
538	1.583443557
539	1.581127827
540	1.57980666
541	1.57862118
542	1.5774145
543	1.577247393
544	1.576114752
545	1.574919033
546	1.574132912
547	1.573030813
548	1.57093718
549	1.569619167
550	1.568904531
551	1.568834099
552	1.568350892
553	1.567076846
554	1.565844977
555	1.565709105
556	1.564799026
557	1.563763113
558	1.56195819
559	1.560483776
560	1.559260928
561	1.557743828
562	1.557584738
563	1.55720333
564	1.556848913
565	1.555594835
566	1.555456857
567	1.554869728
568	1.554766778
569	1.552803413
570	1.550989618
571	1.550041201
572	1.54888359
573	1.548156778
574	1.54720212
575	1.54692955
576	1.545725311
577	1.545134233
578	1.544803601
579	1.544257789
580	1.543610541
581	1.54351282
582	1.543307536
583	1.542293014
584	1.542164433
585	1.541563971
586	1.540627946
587	1.539014218
588	1.538375913
589	1.537462605
590	1.537319179
591	1.536988619
592	1.535922457
593	1.534977169
594	1.534361384
595	1.532983713
596	1.532426354
597	1.532057967
598	1.53069462
599	1.529101875
600	1.528818647
601	1.526885493
602	1.526775603
603	1.526671962
604	1.526226907
605	1.526118634
606	1.525811317
607	1.524594881
608	1.524354811
609	1.522733973
610	1.522560001
611	1.522058557
612	1.521207471
613	1.521168855
614	1.520654539
615	1.519971011
616	1.519312865
617	1.517943399
618	1.517197368
619	1.516701602
620	1.516369407
621	1.51630111
622	1.516099083
623	1.51510497
624	1.515011478
625	1.514918212
626	1.514639959
627	1.514469273
628	1.514383919
629	1.514166277
630	1.514083046
631	1.514000917
632	1.511970915
633	1.511715825
634	1.510419111
635	1.510022601
636	1.509841687
637	1.508065897
638	1.507953182
639	1.507417566
640	1.507343172
641	1.507267883
642	1.507191552
643	1.506955876
644	1.505962619
645	1.505893021
646	1.504982929
647	1.504396401
648	1.503875849
649	1.503148056
650	1.503080153
651	1.503014536
652	1.501997717
653	1.501508367
654	1.501443317
655	1.500967214
656	1.499704512
657	1.499644428
658	1.49930564
659	1.498080474
660	1.498021917
661	1.497036198
662	1.496780593
663	1.496034361
664	1.49507992
665	1.494314175
666	1.493622847
667	1.492833197
668	1.492120222
669	1.491831907
670	1.491409736
671	1.491299907
672	1.489766201
673	1.489036485
674	1.488890132
675	1.488692079
676	1.488626584
677	1.487576678
678	1.487304282
679	1.48724822
680	1.487194902
681	1.486713966
682	1.485795133
683	1.484391737
684	1.484318945
685	1.482724268
686	1.481250763
687	1.480413507
688	1.479796095
689	1.478433988
690	1.476458255
691	1.475763384
692	1.475057969
693	1.473170143
694	1.471881671
695	1.471446818
696	1.47129042
697	1.469838599
698	1.469308651
699	1.468501177
700	1.46728114
701	1.466245504
702	1.465963866
703	1.465140457
704	1.464541371
705	1.464487975
706	1.463891355
707	1.463350642
708	1.461545134
709	1.460667061
710	1.460261644
711	1.459884891
712	1.459698557
713	1.4595401
714	1.458689316
715	1.457865292
716	1.457818585
717	1.457680711
718	1.456882443
719	1.455913741
720	1.455353359
721	1.454613871
722	1.454250228
723	1.453449608
724	1.452688913
725	1.451812325
726	1.451063063
727	1.450035116
728	1.449642553
729	1.449525439
730	1.448796384
731	1.447532937
732	1.446626036
733	1.445836259
734	1.445106857
735	1.444984383
736	1.444292236
737	1.443432098
738	1.442803635
739	1.442145971
740	1.441727654
741	1.440572625
742	1.439863474
743	1.438781678
744	1.437961643
745	1.43785205
746	1.436795343
747	1.436010854
748	1.435423203
749	1.435392134
750	1.435158159
751	1.434629023
752	1.433934865
753	1.433255865
754	1.432401098
755	1.431695056
756	1.431046994
757	1.430317003
758	1.429583053
759	1.429255262
760	1.429139423
761	1.428534159
762	1.427297442
763	1.426680296
764	1.426459739
765	1.424686145
766	1.424104826
767	1.423653652
768	1.422632213
769	1.421391247
770	1.420644731
771	1.419701372
772	1.418236642
773	1.417759139
774	1.417740416
775	1.41625056
776	1.415799125
777	1.415724364
778	1.414908739
779	1.414867443
780	1.414174352
781	1.412983341
782	1.411744777
783	1.411289293
784	1.410575506
785	1.41006455
786	1.409794758
787	1.409586422
788	1.408778888
789	1.408561684
790	1.40721789
791	1.406447865
792	1.405776333
793	1.405707244
794	1.405508318
795	1.404960108
796	1.404903077
797	1.404803159
798	1.404746341
799	1.404644687
800	1.403836387
801	1.402573979
802	1.401965616
803	1.400643168
804	1.399381751
805	1.399014897
806	1.398545329
807	1.398006622
808	1.397603148
809	1.396689914
810	1.396407495
811	1.395701342
812	1.395237584
813	1.394275614
814	1.393700801
815	1.393365105
816	1.391656183
817	1.391169868
818	1.391089229
819	1.390923888
820	1.389944601
821	1.389924509
822	1.389366332
823	1.389180172
824	1.38860786
825	1.388272809
826	1.388059623
827	1.387504371
828	1.38734126
829	1.385916031
830	1.385842922
831	1.385798276
832	1.385709733
833	1.385235643
834	1.384738576
835	1.383879753
836	1.383469397
837	1.383276823
838	1.382186503
839	1.381503111
840	1.380900026
841	1.380076574
842	1.380006954
843	1.379466946
844	1.378501074
845	1.377888504
846	1.374803373
847	1.373608714
848	1.373580002
849	1.373512583
850	1.373269331
851	1.372715901
852	1.372566418
853	1.372049377
854	1.371338398
855	1.370458985
856	1.370110285
857	1.369594307
858	1.369509534
859	1.368665291
860	1.367764907
861	1.367457528
862	1.367395712
863	1.366906645
864	1.366846563
865	1.366776888
866	1.366004542
867	1.365266654
868	1.365115714
869	1.364335809
870	1.363681607
871	1.362730895
872	1.361532713
873	1.360027867
874	1.359555259
875	1.359098773
876	1.358653773
877	1.357525465
878	1.355924296
879	1.355221945
880	1.354548079
881	1.354159915
882	1.353719805
883	1.352811041
884	1.35213606
885	1.351492037
886	1.350118124
887	1.349367788
888	1.348744739
889	1.348095698
890	1.347492286
891	1.347314649
892	1.346790521
893	1.346288591
894	1.345713666
895	1.345561695
896	1.344566564
897	1.344410335
898	1.343712318
899	1.342763973
900	1.342213069
901	1.341376139
902	1.340618309
903	1.339829137
904	1.339330322
905	1.338546571
906	1.338150269
907	1.337261502
908	1.336647499
909	1.336252513
910	1.335094579
911	1.334585098
912	1.33367565
913	1.332347333
914	1.332093437
915	1.330988125
916	1.330257753
917	1.33001727
918	1.329613201
919	1.329064445
920	1.32902745
921	1.328175519
922	1.327851791
923	1.327412441
924	1.326521485
925	1.325687646
926	1.325539433
927	1.325022634
928	1.324407186
929	1.323438143
930	1.32299447
931	1.322367672
932	1.322170052
933	1.322055932
934	1.321134598
935	1.320848458
936	1.320339374
937	1.319355394
938	1.31866173
939	1.318185121
940	1.317741278
941	1.317509313
942	1.317476092
943	1.316319476
944	1.316019236
945	1.315263516
946	1.31422045
947	1.313659128
948	1.313033298
949	1.312499753
950	1.311831782
951	1.311035421
952	1.309549129
953	1.309007598
954	1.306228166
955	1.305284533
956	1.305234428
957	1.304124969
958	1.303671476
959	1.303267621
960	1.302821501
961	1.301553992
962	1.301140215
963	1.300647419
964	1.300219128
965	1.299691305
966	1.298278853
967	1.297954501
968	1.297536626
969	1.297528471
970	1.297168277
971	1.29661526
972	1.296149146
973	1.295545998
974	1.295210654
975	1.294588691
976	1.294082964
977	1.293035274
978	1.291060283
979	1.290635887
980	1.289833904
981	1.289305973
982	1.288939015
983	1.28838985
984	1.287935336
985	1.287223495
986	1.286055944
987	1.285271962
988	1.28437653
989	1.283546678
990	1.283054724
991	1.282913102
992	1.282725948
993	1.281828956
994	1.280817268
995	1.280666948
996	1.280133867
997	1.27960534
998	1.278934513
999	1.278020644
